Title, Link, Upvotes 
Firefox finally outperforming Google Chrome in SunSpider,https://www.phoronix.com/news/Firefox-Faster-SunSpider,115 points
Show HN: Llama2 Embeddings FastAPI Server,https://github.com/Dicklesworthstone/llama_embeddings_fastapi_service,42 points
Privacy friendly ESP32 smart doorbell with Home Assistant local integration,https://tristam.ie/2023/758/,96 points
Coughlin: SSDs will not kill disk drives,https://blocksandfiles.com/2023/08/15/coughlin-ssds-will-not-kill-disk-drives/,11 points
The OpenTF Manifesto,https://opentf.org/,82 points
Why host your own LLM?,http://marble.onl/posts/why_host_your_own_llm.html,61 points
Decimal to fraction,https://leancrew.com/all-this/2023/08/decimal-to-fraction/,12 points
Show HN: Servicer| pm2 alternative built on Rust and systemd,https://servicer.dev,39 points
Hip hop historians who are racing to preserve its story,https://www.wired.com/story/archiving-hip-hop-history/,45 points
GPU-Accelerated LLM on an Orange Pi,https://blog.mlc.ai/2023/08/09/GPU-Accelerated-LLM-on-Orange-Pi,117 points
Features of Project Loom incorporated in JDK 21,https://jdk.java.net/loom/,152 points
Metriport (YC S22) Is Hiring,https://www.ycombinator.com/companies/metriport/jobs/jsOCunE-software-engineer,86 points
New responsibilities,https://www.hadess.net/2023/08/new-responsibilities.html,86 points
Show HN: AI-town| run your own custom AI world SIM with JavaScript,https://github.com/a16z-infra/ai-town,384 points
The unpublished preface to Orwell’s Animal Farm,https://mindmatters.ai/2023/08/a-warning-from-the-unpublished-preface-to-orwells-animal-farm/,190 points
Timing with Curl (2010),https://susam.net/blog/timing-with-curl.html,21 points
CSS Selectors: A Visual Guide,https://fffuel.co/css-selectors/,166 points
Safer: A better alternative to SAFEs for startup financing?,https://nextwave.partners/insights/introducing-safer-better-alternative-safes-startup-financing,74 points
The original source code of the vi text editor| taken from System V,https://github.com/Cube9999/vi,88 points
Solar cycle is more powerful and surprising than predicted,https://theconversation.com/this-solar-cycle-the-suns-activity-is-more-powerful-and-surprising-than-predicted-209955,26 points
Things you might have missed if you’ve been in React world for a while,https://joshcollinsworth.com/blog/antiquated-react,313 points
Schizophrenia Drugs May Have Been Off Target for Decades| Study Finds,https://www.msn.com/en-us/health/medical/schizophrenia-drugs-may-have-been-off-target-for-decades-study-finds/ar-AA1fh9Nt,7 points
Lynn Conway's Story (2000),https://ai.eecs.umich.edu/people/conway/LynnsStory.html,145 points
What coal and Jevons’ paradox tell us about AI and data,https://hex.tech/blog/jevons-paradox-demand-for-insight/,50 points
Continuous batching to increase LLM inference throughput and reduce p50 latency,https://www.anyscale.com/blog/continuous-batching-llm-inference,95 points
Advantages to running FreeBSD as a server operating system,https://klarasystems.com/articles/freebsd-3-advantages-to-running-freebsd-as-your-server-operating-system/,18 points
Next slide| please: A brief history of the corporate presentation,https://www.technologyreview.com/2023/08/11/1077232/corporate-presentations-history/,21 points
OpenFarm – a free and open database and web application for gardening knowledge,https://openfarm.cc,439 points
AST vs. Bytecode: Interpreters in the Age of Meta-Compilation [pdf],https://stefan-marr.de/downloads/oopsla23-larose-et-al-ast-vs-bytecode-interpreters-in-the-age-of-meta-compilation.pdf,81 points
Ball milling destroys PFAS in contaminated soil,https://phys.org/news/2023-08-chemicals.html,3 points
